name,phone,email,website,city,state,sizes,materials,pricing_min,pricing_max,driveway_suitable,driveway_notes,same_day_capable,description
Dumpster Daddy,205-447-8044,,https://www.dumpsterdaddyal.com/,Birmingham,AL,10|15|20|30,construction|mixed|household|roofing,,,1,,0,"Locally owned Birmingham AL roll-off hauler. Firecrawl research 2026-08-09. SCRAPED site. Phone call verification still required before verified/publish."
Bin There Dump That Anchorage,907-947-2844,,https://www.bintheredumpthat.com/anchorage-dumpster-rentals/,Anchorage,AK,10|14|20,construction|mixed|household,,,1,Driveway-safe trailer-style bins common for franchise,0,"Local BTDT franchise serving Anchorage and Mat-Su. Firecrawl search. Confirm independently owned trucks vs franchise model on call."
AR Portable Toilets Roll-Off,501-406-0456,,https://arportabletoilets.com/roll-off-dumpster-little-rock/,Little Rock,AR,20|30,construction|mixed,,,1,,0,"Little Rock roll-off rentals. Firecrawl search. Verify they own/operate containers and serve residential."
Talkin' Trash CT,860-604-1941,,https://www.talkintrashct.com/,Hartford,CT,10|15|20|30,construction|mixed|household,,,1,,0,"Greater Hartford dumpster rental. Firecrawl scraped contact page. Confirm local fleet ownership on call."
Hippo Hartford Dumpster Rental,860-502-2519,,https://hippodumpsterct.com/,Hartford,CT,10|15|20,construction|mixed|household,,,1,,0,"Hartford-area 10/15/20 yard rentals. Firecrawl scraped. Alternate CT candidate if Talkin' Trash fails verification."
Orange Cans Inc,302-378-9395,,https://www.orangecansinc.com/dumpster-rental/wilmington-de/,Wilmington,DE,10|15|20|30,construction|mixed,,,1,,0,"Wilmington DE dumpster rentals. Firecrawl search. Confirm service coverage and broker status."
Honolulu Roll Off Service,808-909-5249,,https://www.honolulurolloffservice.com/,Honolulu,HI,10|15|20|30,construction|mixed,,,1,,0,"Oahu roll-off and equipment transport. Firecrawl search. Island logistics — confirm residential delivery."
Treasure Valley Disposal,208-994-0177,,https://treasurevalleydisposalllc.com/,Boise,ID,10|15|20|30,construction|mixed|household,,,1,,0,"Boise/Treasure Valley dumpster junk and recycling. Firecrawl search (site had captcha). Phone verify."
Brackenbox,708-339-4100,,https://brackenbox.com/,Chicago,IL,10|15|20|30,construction|mixed|household|roofing|yard,,,1,,0,"Chicagoland + NW Indiana residential and commercial roll-off. Firecrawl SCRAPED. Strong local candidate. Hours Mon-Fri 6-4 Sat 7-2."
Ready 2 Roll Hauling,312-520-3619,info@ready2rollhauling.com,https://www.ready2rollhauling.com/,Chicago,IL,12|15|21,construction|mixed|household|yard,,,1,,1,"Chicago south suburbs junk removal + roll-off from ~$370. Firecrawl SCRAPED. Same-day often available."
Greenway Dumpsters,317-617-9464,,https://greenwaydumpsters.com/,Indianapolis,IN,10|15|20|30,construction|mixed|household,,,1,,0,"Indianapolis high-rated dumpster rental. Firecrawl search. Verify fleet ownership."
Dumpster King LLC,515-988-2454,,https://www.dumpsterkingllc.com/,Des Moines,IA,10|15|20|30,construction|mixed|household,,,1,,0,"Des Moines residential and commercial roll-off. Firecrawl search. Local candidate."
Wichita Junk Hauling Dumpsters,316-258-8148,,https://wichitajunkhauling.com/dumpster-rental/,Wichita,KS,10|15|20,construction|mixed|household,,,1,,0,"Wichita dumpster rental + cleanouts. Firecrawl search."
Waste Now Dumpster Rental,502-969-7684,,https://www.wastenow.com/,Louisville,KY,10|15|20|30,construction|mixed|household,,,1,,0,"Local Louisville dumpster and porta potty company. Firecrawl SCRAPED."
EnGulf Waste,504-429-3867,admin@engulfwaste.com,https://engulfwaste.com/,New Orleans,LA,10|15|20|30,construction|mixed|household,,,1,,1,"New Orleans dumpster rental claiming same-day. Firecrawl SCRAPED. Confirm post-storm capacity."
ACE Roll Off LLC,410-288-3867,acerolloff@288dump.com,https://www.acerolloff.com/,Baltimore,MD,10|15|20|30|40,construction|mixed|household,,,1,,0,"Baltimore dumpster rental. Firecrawl SCRAPED. Alt phone 410-216-4757."
Homestead Disposal Inc,781-320-0516,eric@homestead-disposal.com,https://www.homestead-disposal.com/,Boston,MA,7|10|15,construction|mixed|household|roofing|yard|concrete,,,1,Driveway-safe emphasis; Greater Boston 25+ years,0,"Westwood MA based Greater Boston roll-off. Firecrawl SCRAPED. Next-day delivery marketed. Strong quality candidate."
Dump Day Dumpster Rental,313-918-4880,dumpdaydumpsters@gmail.com,https://www.dumpdaydumpsterrental.com/,Detroit,MI,10|20,construction|mixed|household|roofing,,,1,Rubber-wheeled driveway-safe dumpsters,1,"Metro Detroit locally owned rubber-wheeled dumpsters. Firecrawl SCRAPED. Clear tonnage packages. Strong quality candidate."
A-1 Hauling and Rolloffs,763-444-6992,,https://a1rolloffs.com/,Minneapolis,MN,10|15|20|30|40,construction|mixed|household|concrete,,,1,Driveway-safe dumpsters marketed,0,"Minneapolis/Twin Cities roll-off. Firecrawl SCRAPED. Flat-rate messaging."
Mid South Dumpster Rentals,601-316-7891,,https://midsouthdumpsterms.com/,Jackson,MS,10|15|20|30,construction|mixed,,,1,,0,"Jackson MS roll-off rentals. Firecrawl search."
KC Disposal,816-388-9739,kcdisposal@gmail.com,https://kansascitydisposal.com/,Kansas City,MO,10|15|20|30,construction|mixed|household,,,1,,0,"Kansas City dumpster rentals. Firecrawl SCRAPED. Alt listing phone 816-342-5833 — confirm current."
MT Roll Offs,406-697-7739,,https://mtrolloffs.com/,Billings,MT,10|15|20|30,construction|mixed,,,1,,0,"Montana roll-off company. Firecrawl search. Confirm Billings service area."
ASAP Containers,402-598-4400,,https://www.asapcontainers.com/,Omaha,NE,10|15|20|30,construction|mixed|concrete,,,1,,1,"Omaha residential and contractor roll-off. Firecrawl search. Same-day claims — verify."
Grizzly Hauling and Junk,702-628-7929,,https://www.grizzlyhaulingandjunk.com/,Las Vegas,NV,10|15|20|30,construction|mixed|household,,,1,,0,"Las Vegas local hauling and roll-off. Firecrawl SCRAPED phone 702-628-7929."
Payless Rolloff,505-295-4728,,https://www.paylessrolloff.com/,Albuquerque,NM,10|15|20|30,construction|mixed,,,1,,0,"New Mexico roll-off rentals. Firecrawl search. Affordable local positioning."
Bestway Carting Inc,800-216-1284,,https://www.bestwaycarting.com/,New York,NY,10|20|30|40,construction|mixed|household,,,1,,0,"Brooklyn/Queens/NYC carting and roll-off 30+ years. Firecrawl SCRAPED. HQ Little Neck NY. Confirm residential driveway rules."
Regency Hauling,704-593-6378,info@regencyhauling.com,https://regencyhauling.com/,Charlotte,NC,10|15|20|30|40,construction|mixed|household|roofing,,,1,,0,"Charlotte dumpster rental. Firecrawl SCRAPED. 6-day service Mon-Sat."
Bin There Dump That Fargo,701-515-0079,,https://www.bintheredumpthat.com/fargo-dumpster-rentals/,Fargo,ND,10|14|20,construction|mixed|household,,,1,Driveway-safe trailer-style,0,"Fargo BTDT franchise. Firecrawl search. Confirm local operator."
Mid-Ohio Dumpsters,614-721-7777,sales@midohiodumpsters.com,https://www.midohiodumpsters.com/,Columbus,OH,10|15|20|30,construction|mixed|household,,,1,,0,"Family owned Columbus OH dumpster rental demolition and junk. Firecrawl SCRAPED. Strong local candidate."
Enviro Dispose,405-213-4593,,https://envirodispose.com/,Oklahoma City,OK,10|15|20|30|40,construction|mixed,,,1,,0,"OKC dumpster rental. Firecrawl SCRAPED phone 405-213-4593."
Oregon Recycling,503-720-2281,,https://oregon-recycling.com/,Portland,OR,10|15|20|30,construction|mixed|household,,,1,,0,"Portland dumpster rental and junk removal. Firecrawl SCRAPED phone 503-720-2281."
BC Haulers,,,https://www.bchaulers.com/,Portland,OR,10|15|20,construction|mixed,,,1,,0,"Portland area hauler. Firecrawl search. Alternate OR candidate; get phone from site."
Geppert Recycling,215-842-0122,,https://geppertrecycling.com/,Philadelphia,PA,10|15|20|30|40,construction|mixed|household,,,1,,0,"30+ year Philly waste station and roll-off. Firecrawl SCRAPED. Serves Philly + Bucks/Chester/Delaware/Montgomery. Strong candidate."
Rhody Disposal,401-633-4465,info@rhodydisposal.com,https://www.rhodydisposal.com/,Providence,RI,10|15|20|30,construction|mixed|household,,,1,,0,"Rhode Island roll-off and junk removal. Firecrawl SCRAPED."
Charleston Dumpster Rental,843-625-4227,,https://dumpsterrentalcharleston.org/,Charleston,SC,10|15|20|30,construction|mixed,,,1,,0,"Charleston SC roll-off. Firecrawl search. Confirm not a lead broker."
