name,phone,email,website,city,state,sizes,materials,pricing_min,pricing_max,driveway_suitable,driveway_notes,same_day_capable,description
Bin There Dump That Anchorage,907-947-2844,,https://www.bintheredumpthat.com/anchorage-dumpster-rentals/,Anchorage,AK,10|14|20,construction|mixed|household,,,1,Driveway-safe trailer-style bins common for franchise,0,Local BTDT franchise serving Anchorage and Mat-Su. Firecrawl search. Confirm independently owned trucks vs franchise model on call.
Dumpster Daddy,205-447-8044,,https://www.dumpsterdaddyal.com/,Birmingham,AL,10|15|20|30,construction|mixed|household|roofing,,,1,,0,Locally owned Birmingham AL roll-off hauler. Firecrawl research 2026-08-09. SCRAPED site. Phone call verification still required before verified/publish.
AR Portable Toilets Roll-Off,501-406-0456,,https://arportabletoilets.com/roll-off-dumpster-little-rock/,Little Rock,AR,20|30,construction|mixed,,,1,,0,Little Rock roll-off rentals. Firecrawl search. Verify they own/operate containers and serve residential.
Talkin' Trash CT,860-604-1941,,https://www.talkintrashct.com/,Hartford,CT,10|15|20|30,construction|mixed|household,,,1,,0,Greater Hartford dumpster rental. Firecrawl scraped contact page. Confirm local fleet ownership on call.
EAI Roll Off,301-428-0822,,https://eairolloff.com/,Washington,DC,10|15|20|30|40,construction|mixed|household,,,1,,0,Serves DC MD Northern VA. Firecrawl search. Confirm DC street permit help and local ops.
Orange Cans Inc,302-378-9395,,https://www.orangecansinc.com/dumpster-rental/wilmington-de/,Wilmington,DE,10|15|20|30,construction|mixed,,,1,,0,Wilmington DE dumpster rentals. Firecrawl search. Confirm service coverage and broker status.
Honolulu Roll Off Service,808-909-5249,,https://www.honolulurolloffservice.com/,Honolulu,HI,10|15|20|30,construction|mixed,,,1,,0,Oahu roll-off and equipment transport. Firecrawl search. Island logistics — confirm residential delivery.
Dumpster King LLC,515-988-2454,,https://www.dumpsterkingllc.com/,Des Moines,IA,10|15|20|30,construction|mixed|household,,,1,,0,Des Moines residential and commercial roll-off. Firecrawl search. Local candidate.
Treasure Valley Disposal,208-994-0177,,https://treasurevalleydisposalllc.com/,Boise,ID,10|15|20|30,construction|mixed|household,,,1,,0,Boise/Treasure Valley dumpster junk and recycling. Firecrawl search (site had captcha). Phone verify.
Brackenbox,708-339-4100,,https://brackenbox.com/,Chicago,IL,10|15|20|30,construction|mixed|household|roofing|yard,,,1,,0,Chicagoland + NW Indiana residential and commercial roll-off. Firecrawl SCRAPED. Strong local candidate. Hours Mon-Fri 6-4 Sat 7-2.
Greenway Dumpsters,317-617-9464,,https://greenwaydumpsters.com/,Indianapolis,IN,10|15|20|30,construction|mixed|household,,,1,,0,Indianapolis high-rated dumpster rental. Firecrawl search. Verify fleet ownership.
Wichita Junk Hauling Dumpsters,316-258-8148,,https://wichitajunkhauling.com/dumpster-rental/,Wichita,KS,10|15|20,construction|mixed|household,,,1,,0,Wichita dumpster rental + cleanouts. Firecrawl search.
